NAIC 2017,Production
212221,10115906
212222,781745
212230,16967453
212291,0
212299,0
212311,770320
212312,10585207
212313,3122039
212319,3246349
212321,8267578
212322,2959285
212324,734973
212325,875247
212391,2809199
212392,0
212393,0
212399,926802
213111,18501238
213112,72294001
213113,889272
213114,1500267
213115,1088569
221111,4291954
221112,85510357
221113,34599648
221114,5514711
221115,14239663
221116,1144273
221117,947855
221118,41492
221121,17628072
221122,399405450
221210,182666159
221310,16279129
221320,2420297
221330,1263307
236115,117777547
236116,77852053
236117,276632153
236118,129115307
236210,36207628
211120,354140164
211130,178737420
212111,10050291
212112,17057145
212113,318000
212210,4397424
311111,27453629
311119,47276859
311211,18525930
311212,4554571
311213,995539
311221,17480531
311224,60052658
311225,17847749
311230,10975643
311313,4359901
311314,6602163
311340,11509278
311351,5266311
311352,14390366
311411,18310280
311412,25527399
311421,27392979
311422,9843597
311423,8641507
311511,50571309
311512,8879001
311513,66303118
311514,21105376
311520,10386406
311611,124669571
311612,81126161
311613,7937464
311615,89913007
311710,14628998
311811,6118018
311812,38164287
311813,8165134
311821,10292170
311824,15389981
236220,585607698
237110,56912725
237120,44071809
237130,102870001
237210,17839227
237310,160342128
237990,34016402
238110,78743872
238120,19678130
238130,29126868
238140,28593793
238150,18880965
238160,69906202
238170,10821892
238190,10609999
238210,249247389
238220,297608835
238290,42421304
238310,57791264
238320,33027179
238330,24184307
238340,12231379
238350,42726232
238390,14419677
238910,158711766
238990,82795519
316992,434761
316998,1614421
321113,41310536
321114,10472035
321211,3523885
321212,6611995
321213,4677070
321214,15125683
311830,5925849
311911,14422347
311919,28136385
311920,14715412
311930,11818552
311941,14719378
311942,15110855
311991,27129946
311999,16524968
312111,41676568
312112,8692090
312113,1178393
312120,29407838
312130,24303716
312140,18833463
312230,50905423
313110,6637831
313210,3625631
313220,983686
313230,7697185
313240,1291100
313310,3903614
313320,2884306
314110,9343351
314120,3326837
314910,4360223
314994,1886722
314999,4164518
315110,803342
315190,412332
315210,2041335
315220,1498953
315240,2902849
315280,1078815
315990,1200491
316110,1148391
316210,1603240
325130,6449989
325180,41859212
325193,50039523
325194,5490928
325199,100084835
325211,114389117
325212,8485946
325220,6804806
325311,15000424
325312,8927961
325314,6258478
325320,18623718
325411,13906044
325412,149880541
325413,23121300
325414,47322287
325510,33176861
325520,20053143
325611,27159134
325612,8430277
325613,10241515
325620,36549121
325910,4561134
325920,3162578
325991,13691685
325992,4896895
325998,28435524
326111,16370399
326112,17084328
326113,17032497
321219,11223280
321911,19020657
321912,8049530
321918,10191900
321920,18265295
321991,7064498
321992,8085416
321999,8823755
322110,8716945
322121,31663182
322122,920042
322130,41223734
322211,57188311
322212,18693919
322219,9178090
322220,26755674
322230,6280826
322291,14113056
322299,5593892
323111,70699618
323113,12483532
323117,4958811
323120,2771782
324110,825220146
324121,18168879
324122,14953461
324191,19619490
324199,5386499
325110,77557794
325120,16411762
331511,11890929
331512,3953391
331513,3668100
331523,7627120
331524,2854687
331529,2767806
332111,7205454
332112,2766702
332114,6880414
326121,9018573
326122,18162585
326130,4657791
326140,11778963
326150,13209893
326160,17141130
326191,6051009
326199,122721412
326211,21250856
326212,1622924
326220,7077342
326291,7708825
326299,12324131
327110,2654389
327120,6679640
327211,5329560
327212,3611514
327213,6659671
327215,16285718
327310,11712435
327320,42951826
327331,5823568
327332,1723849
327390,18080128
327410,2762276
327420,9189956
327910,3788318
327991,7964526
327992,6446945
327993,7917903
327999,5207425
331110,129831729
331210,21368091
331221,16110197
331222,8519599
331313,2931178
331314,8965804
331315,22603978
331318,16641338
331410,12285690
331420,35874028
331491,6601918
331492,8591300
333111,42826509
333112,9638246
333120,41175635
333131,4385006
333132,11890226
333241,6615719
333242,13751994
333243,3968908
333244,1985376
333249,13903444
333314,6406981
333316,1063398
333318,24588303
333413,8021174
333414,6859109
333415,40153496
333511,6263593
333514,9827827
333515,5548956
333517,9255991
333519,2973741
333611,11976632
333612,4135801
333613,5485984
333618,28069298
333912,8850292
333914,17915044
333921,4317253
333922,14176832
333923,9091040
333924,13184085
333991,2578482
333992,6490240
333993,10087435
332117,2209252
332119,14138575
332215,3201561
332216,7801071
332311,14480974
332312,55530085
332313,13580011
332321,19486133
332322,39514794
332323,10787884
332410,7103848
332420,10337800
332431,21648002
332439,4649751
332510,10740727
332613,5036408
332618,6057660
332710,44731288
332721,23500308
332722,12865619
332811,5786168
332812,17981609
332813,7919251
332911,14281165
332912,10908466
332913,6603711
332919,4860866
332991,5808676
332992,5825535
332993,4174028
332994,10555395
332996,8017928
332999,18696105
336112,234468360
336120,33078898
336211,20264702
336212,17068125
336213,7414703
336214,27565410
336310,38967381
333994,3450839
333995,7231497
333996,5330371
333997,1214593
333999,20826460
334111,11777793
334112,4720727
334118,3339141
334210,4297775
334220,32293478
334290,4669922
334310,5092585
334412,4371766
334413,62435106
334416,3333307
334417,7053755
334418,24470559
334419,14236731
334510,39564761
334511,53454072
334512,3007474
334513,14234763
334514,5293593
334515,11663326
334516,19354336
334517,9177835
334519,12867429
334613,745081
334614,868589
335110,909139
335121,2884332
335122,6951223
335129,4616605
335210,3651053
335220,23670362
335311,9556000
335312,13790392
335313,15009387
335314,10293473
335911,25328395
335912,2875571
335921,3762544
335929,10004072
335931,8376690
335932,9628333
335991,3995351
335999,17381153
336111,122687410
339112,40260371
339113,37927233
339114,5800169
339115,6512386
339116,6334094
339910,7877810
339920,11063895
339930,1746977
339940,3228897
339950,14480142
339991,7219059
339992,2297391
339993,870793
339994,2760441
339995,665461
339999,12906888
423110,768311836
423120,217860210
423130,75970263
423140,10127243
423210,63293859
423220,86427388
423310,172993698
423320,37451719
423330,74678827
423390,38828009
423410,9510795
423420,33256094
423430,331349644
336320,28038554
336330,16979065
336340,10217537
336350,47186478
336360,29884925
336370,40483468
336390,66479007
336411,92756062
336412,40148113
336413,33886040
336414,14851952
336415,19513529
336419,2366738
336510,12021670
336611,30122986
336612,16830290
336991,3799513
336992,6884222
