NAIC 2017,Production
336999,9763791
337110,21029313
337121,14492131
337122,4000422
337124,2415505
337125,1320277
337127,5681041
337211,3335761
337212,10017333
337214,5827651
337215,9196936
337910,8776904
337920,2593295
424490,418844059
424510,278640354
424520,8589439
424590,22653030
424610,56284536
424690,259894742
424710,1101016025
423440,32988059
423450,311466913
423460,12700964
423490,35203396
423510,305346854
423520,23962321
423610,219352299
423620,140115588
423690,535761320
423710,94210369
423720,97811118
423730,96618311
423740,9995791
423810,127950304
423820,143316320
423830,282320837
423840,94627532
423850,28579182
423860,48791288
423910,67882121
423920,46441391
423930,107749500
423940,76237781
423990,58032428
424110,18519389
424120,36189160
424130,122072738
424210,1280938681
424310,14144292
424320,50915320
424330,73979629
424340,43507190
424410,265542202
424420,185146275
424430,87120513
424440,14234464
424450,77247292
424460,23095505
424470,113162507
424480,114334237
444130,38319793
444190,153264950
444210,12080466
444220,49742111
445110,808759234
445120,36265207
445210,9737649
445220,3167848
445230,4574799
445291,1765000
445292,2761134
445299,4365131
445310,70914998
446110,323047789
446120,28339539
446130,12964905
446191,5560581
446199,13590851
447110,533830270
447190,187829074
448110,9956694
448120,34040914
448130,4217242
448140,118835429
448150,14928238
448190,15538602
448210,36900920
448310,41159040
448320,5411530
424720,832610026
424810,83129261
424820,125052209
424910,206965886
424920,10273328
424930,20774564
424940,143643325
424950,22406182
424990,55684667
425110,14900381
425120,771022123
441110,1186395950
441120,159528844
441210,43233014
441222,23934358
441228,41772625
441310,78685785
441320,42230186
442110,75768104
442210,27948918
442291,2824227
442299,30266256
443141,21476379
443142,65559135
444110,257985134
444120,15984611
485210,2014913
485310,14366779
485320,4423342
485410,12239935
485510,4367901
485991,5806246
485999,2405287
451110,59299667
451120,17570927
451130,3439678
451140,5186068
451211,8533068
451212,302453
452210,46602960
452311,783097567
452319,97791184
453110,5566127
453210,9198264
453220,18274697
453310,19632893
453910,25058312
453920,10238006
453930,9745492
453991,15463965
453998,42057408
454110,1062420174
454210,8286531
454310,43318794
454390,28143630
481111,228878532
481112,10111900
481211,24735220
481212,11181552
481219,2347688
483111,9772334
483112,23234570
483113,10018393
483114,924703
483211,7587285
483212,680907
484110,54661073
484121,172717339
484122,65688461
484210,20117014
484220,57501045
484230,52586026
485111,8902
485112,959525
485113,4054395
485119,227022
493190,9441380
511110,19423538
511120,0
511130,0
511140,3563874
511191,0
511199,0
511210,492929994
512110,87527874
512120,1354426
512131,12975366
512132,100311
512191,6423107
512199,235869
512230,7012840
512240,1576939
512250,12847288
512290,889319
515111,9295302
515112,12252906
515120,72259731
515210,76966468
517311,322720357
517312,297014682
517410,7250817
517911,21074987
517919,21256687
518210,329466105
486110,15041057
486210,38293418
486910,14035688
486990,374260
487110,1226946
487210,2806148
487990,776596
488111,205747
488119,14260232
488190,23709693
488210,7636853
488310,4447603
488320,10637554
488330,4981408
488390,2589911
488410,11959942
488490,5157518
488510,134898260
488991,3336042
488999,103622
492110,132312925
492210,23569739
493110,42227297
493120,7640099
493130,1015319
531320,7920354
531390,25897559
532111,38771599
532112,14698859
532120,37280090
532210,5535067
532281,719698
532282,588309
519110,1395903
519120,2695128
519130,335678183
519190,3184152
521110,170352000
522110,591119249
522120,0
522130,95457567
522210,161591705
522220,133607705
522291,47581097
522292,109119306
522293,0
522294,0
522298,0
522310,17136412
522320,136661685
522390,26080014
523110,141969709
523120,164702906
523130,0
523140,0
523210,16491745
523910,45812392
523920,0
523930,0
523991,19078263
523999,13851336
524113,600733976
524114,1298702374
524126,727460358
524127,23431265
524128,25325294
524130,98745920
524210,194292060
524291,8878939
524292,283554088
524298,8676795
531110,162306133
531120,155238316
531130,20615435
531190,11725149
531210,179408329
531311,69603162
531312,39501630
541611,219100685
541612,24602937
541613,77451090
541614,26038041
541618,12901407
541620,21384227
541690,53543804
541713,44503065
541714,90982176
541715,195739168
551111,13579877
551112,75956806
551114,27767784
561110,90788752
561210,41192674
561311,21375462
561312,12596595
541720,9298395
541810,62358327
541820,15830716
541830,8996771
541840,6206863
541850,8332604
541860,8595945
541870,2377437
541890,22061451
541910,25151509
541921,4141615
541922,2631904
541930,6850915
541940,62819440
541990,28003887
532283,5889149
532284,2290405
532289,7214792
532310,3151403
532411,13226812
532412,36390219
532420,2572824
532490,43776626
533110,62069642
541110,356046433
541191,12539841
541199,5986226
541211,144729301
541213,7255776
541214,26566580
541219,30296065
541310,48566045
541320,6598613
541330,304267132
541340,2182792
541350,4464207
541360,1530281
541370,10973355
541380,27932032
541410,19704022
541420,4033369
541430,9785125
541490,3309609
541511,278509030
541512,243316132
541513,23792816
541519,54972879
611710,21756939
621111,630209309
621112,10222838
621210,160316394
621310,15883630
621320,20092058
561320,326027203
561330,197868113
561410,3507384
561421,2592138
561422,25576095
561431,5228139
561439,3495424
561440,15159928
561450,14666741
561491,1114072
561492,3070371
561499,9685595
561510,32341907
561520,9029899
561591,2656992
561599,24988646
561611,6154657
561612,37044039
561613,3605043
561621,31313513
561622,2626866
561710,19895993
561720,72611377
561730,115405806
561740,4156695
561790,13974816
561910,12433752
561920,17385657
561990,29678192
562111,65755987
562112,3203712
562119,3632494
562211,9011637
562212,12273339
562213,1482748
562219,1993209
562910,22739109
562920,8421495
562991,6317781
562998,3592305
611410,126174
611420,4487460
611430,14574660
611511,2041111
611512,4127637
611513,2153792
611519,6964533
611610,6876841
611620,11640631
611630,1291747
611691,7286419
611692,1330809
611699,4892911
624210,17575880
624221,8810009
624229,11833981
624230,14957508
624310,14345481
624410,58427444
711110,8731490
711120,1028008
711130,6779268
711190,1731859
711211,44029584
711212,7975422
711219,4254271
711310,21643588
711320,19286237
711410,10812102
711510,28629312
712110,13528862
712120,1338727
712130,5716833
712190,1208467
713110,19170768
713120,6502005
713210,18423632
713290,18421266
713910,31314635
713920,3368456
621330,23303118
621340,42795518
621391,5366809
621399,18332346
621410,4618698
621420,30637899
621491,43616202
621492,29929009
621493,44080482
621498,69611270
621511,56087651
621512,25007979
621610,114187602
621910,20323718
621991,19882476
621999,25413288
622110,1269963203
622210,29086260
622310,58403308
623110,135396289
623210,37800151
623220,21380981
623311,41082584
623312,38857145
623990,9166043
624110,24059551
624120,77281380
624190,51959227
713930,6056427
713940,36042321
713950,4101227
713990,19114785
721110,206193557
721120,75928928
721191,1176816
721199,2468568
721211,4251045
721214,3710454
721310,1968338
722310,50858684
722320,12966223
722330,3019256
722410,33653442
722511,372803601
722513,358864144
722514,5683111
722515,62769408
811111,71002726
811112,718887
811113,2729057
811118,2463353
811121,45898127
811122,7514301
811191,9646760
811192,14807987
811198,3245757
811211,1637421
811212,5312685
811213,2550616
811219,7163663
811310,54640745
811411,728564
811412,2864398
811420,1348832
811430,208714
811490,5760813
812111,1663159
812112,25664020
812113,11366371
812191,2385501
812199,13677122
812210,17826001
812220,5570060
812310,5497369
812320,7112666
812331,6560256
812332,12045924
812910,10109818
812921,723190
812922,17013
812930,10712803
812990,13124992
813211,130846909
813212,29232341
813219,21819381
813311,14496686
813312,17427758
813319,16475296
813410,18502943
813910,30220478
813920,22659598
813990,34869201
