NAICS,Production
1111,"7,503,920,000"
1112,"125,756,000"
1113,"193,601,000"
1114,"25,116,000"
1119,"655,900,000"
1121,"142,202,010,000"
1122,"71,456,000"
1123,"14,280,000"
1124,"1,690,000"
1125,"2,222,585,000"
1129,"6,060,422,000"
