NAIC 2017-4digits,Production
3151,1215674.0
4842,130204085.0
5152,76966468.0
4539,102563183.0
5173,619735039.0
8113,54640745.0
2121,27425436.0
3328,31687028.0
4859,8211533.0
6216,114187602.0
4237,298635589.0
2213,19962733.0
6222,29086260.0
4422,61039401.0
3333,32058682.0
8112,16664385.0
3211,51782571.0
5615,69017444.0
7223,66844163.0
3324,43739401.0
4232,149721247.0
4885,134898260.0
5612,41192674.0
5613,557867373.0
7212,7961499.0
6213,125773479.0
3131,6637831.0
7139,99997851.0
4451,845024441.0
3271,9334029.0
5121,108616953.0
4931,60324095.0
4241,176781287.0
3361,390234668.0
5416,435022191.0
8111,158026955.0
4461,383503665.0
3273,80291806.0
6241,153300158.0
5629,41070690.0
4883,22656476.0
7112,56259277.0
5322,22237420.0
3321,33200397.0
7132,36844898.0
8133,48399740.0
3222,137803768.0
4442,61822577.0
7211,285767869.0
3343,5092585.0
4247,1933626051.0
2211,563323475.0
3311,129831729.0
5222,451899813.0
5617,226044687.0
3329,89731875.0
4482,36900920.0
4522,46602960.0
3335,33870108.0
4251,785922504.0
3362,72312940.0
6211,640432147.0
8139,87749277.0
3149,10411463.0
3256,82380047.0
3261,253228580.0
3253,48810581.0
4881,38175672.0
3344,115901224.0
3353,48649252.0
3141,12670188.0
6219,65619482.0
3364,203522434.0
4922,23569739.0
3371,48938689.0
4541,1062420174.0
4831,43950000.0
4249,459747952.0
6233,79939729.0
6115,15287073.0
2382,589277528.0
4861,15041057.0
3169,2049182.0
4811,238990432.0
3322,11002632.0
5621,72592193.0
5122,22326386.0
4452,26371561.0
5223,179878111.0
3326,11094068.0
4882,7636853.0
5311,349885033.0
4542,8286531.0
5413,406514457.0
6243,14345481.0
6215,81095630.0
3351,15361299.0
4413,120915971.0
7224,33653442.0
8132,181898631.0
4421,75768104.0
5415,600590857.0
5411,374572500.0
3325,10740727.0
3262,49984078.0
4243,182546431.0
3159,1200491.0
2381,266361721.0
3315,32762033.0
4483,46570570.0
5417,340522804.0
4441,465554488.0
4872,2806148.0
3327,81097215.0
4532,27472961.0
3339,124744463.0
3312,45997887.0
3212,41161913.0
4246,316179278.0
2389,241507285.0
3152,7521952.0
6239,9166043.0
2212,182666159.0
4234,766475865.0
4523,880888751.0
5241,2774399187.0
7113,40929825.0
3352,27321415.0
3272,31886463.0
3359,81352109.0
2383,184380038.0
4851,5249844.0
4841,293066873.0
4481,197517119.0
3117,14628998.0
4233,323952253.0
2122,32262528.0
2361,601377060.0
2379,34016402.0
4832,8268192.0
3391,96834253.0
4412,108939997.0
3336,49667715.0
2373,160342128.0
4862,38293418.0
5191,342953366.0
5622,24760933.0
3121,124092068.0
6223,58403308.0
4531,5566127.0
4511,85496340.0
5323,3151403.0
3114,89715762.0
4453,70914998.0
5331,62069642.0
3341,19837661.0
3365,12021670.0
7114,10812102.0
6232,59181132.0
5182,329466105.0
5242,495401882.0
3274,11952232.0
5419,129599270.0
4411,1345924794.0
2111,532877584.0
3369,20447526.0
4236,895229207.0
4855,4367901.0
5174,7250817.0
4533,19632893.0
5614,84095887.0
4889,3439664.0
5324,95966481.0
4852,2014913.0
3133,6787920.0
5221,686576816.0
3399,65117754.0
5312,179408329.0
3332,40225441.0
4235,329309175.0
6114,19188294.0
3162,1603240.0
3314,63352936.0
3345,168617589.0
3221,82523903.0
4244,1298727054.0
4871,1226946.0
3118,84055439.0
3241,883348475.0
6242,53177378.0
7111,18270625.0
8114,10911321.0
5112,492929994.0
5414,36832125.0
6212,160316394.0
3279,31325117.0
3219,79501051.0
5611,90788752.0
5313,142922705.0
3255,53230004.0
6117,21756939.0
3379,11370199.0
3363,278236415.0
5321,90750548.0
5412,208847722.0
6244,58427444.0
7213,1968338.0
2362,621815326.0
5619,59497601.0
8129,34687816.0
2123,34296999.0
3254,234230172.0
8123,31216215.0
6231,135396289.0
4231,1072269552.0
6116,33319358.0
3119,142577843.0
5111,22987412.0
4869,14409948.0
5239,78741991.0
3331,109915622.0
4879,776596.0
3231,90913743.0
5211,170352000.0
3122,50905423.0
8122,23396061.0
3116,303646203.0
3252,129679869.0
7121,21792889.0
3259,54747816.0
2371,203854535.0
3346,1613670.0
5232,16491745.0
3113,42128019.0
3323,153379881.0
4242,1280938681.0
4853,18790121.0
4854,12239935.0
5418,134760114.0
2372,17839227.0
7131,25672773.0
3251,297894043.0
4239,356343221.0
4248,208181470.0
4512,8835521.0
7225,800120264.0
6221,1269963203.0
3334,55033779.0
8134,18502943.0
4884,17117460.0
3115,157245210.0
4245,309882823.0
3366,46953276.0
6214,222493560.0
5179,42331674.0
3111,74730488.0
7115,28629312.0
3161,1148391.0
5511,117304467.0
4238,725585463.0
3372,28377681.0
3132,13597602.0
4431,87035514.0
5151,93807939.0
5231,306672615.0
4543,71462424.0
8121,54756173.0
4471,721659344.0
2131,94273347.0
3313,51142298.0
3342,41261175.0
4921,132312925.0
3112,130432621.0
4812,38264460.0
5616,80744118.0
